"","Age","Country","TRAD_F_1","TRAD_F_2","TRAD_F_3","TRAD_F_4","TRAD_F_5","TRAD_F_6","TRAD_F_7","TRAD_F_8","TRAD_F_9","TRAD_F_10","TRAD_F_11","TRAD_F_12","TRAD_M_13","TRAD_M_14","TRAD_M_15","TRAD_M_16","TRAD_M_17","TRAD_M_18","SEX_BIN","ATG1R","ATG2R","ATG3R","ATG4R","ATG5R","ATL1R","ATL2R","ATL3R","ATL4R","ATL5R","SSM","SSP","CONTBIN","ATTGL","GRTRAD","REL_1rec","REL_2rec","RELIGIOSITY_NEW","ATT_GAY","ATT_LESB","ATT_GL","Numb_Contacts","Meanqual","RELIGIOSITY","Contact2"
"1",22,"France",4,3,1,1,4,3,2,2,4,3,1,4,4,4,3,2,3,1,"Female",4,4,3,4,4,4,4,2,4,4,5,NA,"No contact",3.7,2.86666666666667,3,4,2.8,3.8,3.6,3.7,0,NA,2.8,NA
"2",22,"France",2,5,4,4,5,3,5,5,5,3,5,4,4,4,5,4,4,4,"Female",3,4,3,4,4,3,4,3,4,4,6,5,"No contact",3.6,4.13333333333333,3,3,2.2,3.6,3.6,3.6,0,NA,2.2,NA
"3",20,"France",4,3,1,2,5,1,1,2,1,1,1,1,2,2,2,4,2,1,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,2.06666666666667,3,2,1.6,4,4,4,0,NA,1.6,NA
"4",18,"France",6,3,2,5,6,5,5,2,4,4,6,4,5,5,2,NA,4,NA,"Female",1,1,1,2,1,1,1,1,2,1,1,1,"No contact",1.2,4.42857142857143,2,5,2.9,1.2,1.2,1.2,0,NA,2.9,NA
"5",47,"France",6,NA,3,3,6,3,6,4,6,3,5,3,5,3,5,NA,NA,4,"Female",3,3,2,3,4,3,3,2,3,4,5,2,"No contact",3,4.38461538461539,2,2,1.1,3,3,3,0,NA,1.1,NA
"6",18,"France",2,2,1,2,4,3,3,3,2,2,2,2,3,3,3,4,2,3,"Female",3,3,3,3,3,3,3,3,3,3,5,2,"No contact",3,2.53333333333333,2,2,1.1,3,3,3,0,NA,1.1,NA
"7",21,"France",5,4,2,2,5,1,5,3,4,3,1,3,3,4,2,3,3,3,"Female",4,4,3,4,4,4,4,3,4,4,6,6,"No contact",3.8,3.13333333333333,2,3,1.7,3.8,3.8,3.8,0,NA,1.7,NA
"8",26,"France",6,5,2,1,4,1,1,6,2,2,2,2,4,2,2,3,3,2,"Female",4,4,3,4,4,4,4,3,4,4,5,5,"No contact",3.8,2.6,3,5,3.4,3.8,3.8,3.8,0,NA,3.4,NA
"9",26,"France",5,4,NA,1,6,1,6,6,3,2,6,4,NA,NA,NA,NA,NA,NA,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,3.8,2,2,1.1,4,4,4,0,NA,1.1,NA
"10",20,"France",6,4,2,2,6,2,3,4,4,4,3,4,5,5,4,4,4,4,"Female",3,3,3,3,3,3,3,3,3,3,5,NA,"No contact",3,3.86666666666667,2,3,1.7,3,3,3,0,NA,1.7,NA
"11",24,"France",4,6,5,3,4,5,5,6,3,6,5,5,6,6,4,2,6,6,"Female",1,1,1,1,2,1,1,1,1,1,1,1,"No contact",1.1,4.6,2,5,2.9,1.2,1,1.1,0,NA,2.9,NA
"12",18,"France",5,4,2,3,5,3,5,4,5,4,4,4,5,4,4,4,4,4,"Female",4,4,3,4,4,4,4,3,4,4,5,5,"No contact",3.8,4.06666666666667,4,3,2.7,3.8,3.8,3.8,0,NA,2.7,NA
"13",NA,"France",5,2,1,1,6,1,3,4,1,1,1,2,3,4,1,1,1,1,"Female",4,4,3,4,4,4,4,2,3,3,5,5,"No contact",3.5,2.2,2,2,1.1,3.8,3.2,3.5,0,NA,1.1,NA
"14",18,"France",4,3,1,1,5,1,4,1,5,2,4,1,3,2,3,2,3,3,"Female",3,4,3,4,4,3,4,3,4,4,5,5,"No contact",3.6,2.73333333333333,2,3,1.7,3.6,3.6,3.6,0,NA,1.7,NA
"15",19,"France",4,3,1,2,4,2,3,3,4,4,3,4,3,3,3,4,3,3,"Female",4,4,1,4,4,4,4,2,4,4,6,5,"No contact",3.5,3.13333333333333,3,2,1.6,3.4,3.6,3.5,0,NA,1.6,NA
"16",19,"France",6,4,1,1,6,5,5,5,6,4,4,3,2,2,2,2,2,2,"Female",4,4,4,4,4,4,4,4,4,4,5,2,"No contact",4,3.53333333333333,2,2,1.1,4,4,4,0,NA,1.1,NA
"17",20,"France",3,4,2,1,3,3,5,3,4,3,3,3,3,3,3,4,3,4,"Female",3,3,2,3,3,3,3,2,3,3,2,2,"No contact",2.8,3.13333333333333,3,4,2.8,2.8,2.8,2.8,0,NA,2.8,NA
"18",NA,"France",5,5,1,1,6,2,4,5,5,2,1,1,1,1,1,1,1,1,"Female",4,4,1,4,4,4,4,1,4,4,6,6,"No contact",3.4,2.46666666666667,2,2,1.1,3.4,3.4,3.4,0,NA,1.1,NA
"19",19,"France",3,2,1,1,3,2,2,2,3,2,2,2,2,4,2,2,3,3,"Female",4,4,1,4,2,4,4,1,4,2,5,5,"No contact",3,2.2,2,4,2.3,3,3,3,0,NA,2.3,NA
"20",22,"France",6,5,1,1,6,5,5,4,4,2,5,3,3,5,3,3,4,3,"Female",4,4,4,4,4,4,4,4,4,4,6,5,"No contact",4,3.8,2,2,1.1,4,4,4,0,NA,1.1,NA
"21",20,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No contact",NA,NA,3,3,2.2,NA,NA,NA,0,NA,2.2,NA
"22",24,"France",2,2,1,1,2,1,1,2,1,2,1,5,5,2,5,5,1,2,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,2.4,2,2,1.1,4,4,4,0,NA,1.1,NA
"23",23,"France",6,5,1,3,NA,2,6,5,6,2,2,2,4,4,3,3,2,3,"Female",4,4,4,4,4,4,4,4,4,4,6,6,"No contact",4,3.5,3,4,2.8,4,4,4,0,NA,2.8,NA
"24",19,"France",6,2,2,1,6,1,6,2,1,2,2,1,1,2,1,2,1,1,"Female",1,3,2,4,4,1,3,2,4,4,4,1,"No contact",2.8,2.4,2,3,1.7,2.8,2.8,2.8,0,1,1.7,0
"25",23,"France",5,5,4,4,5,5,6,5,6,4,3,3,5,6,6,5,6,5,"Female",1,1,2,1,1,1,1,1,1,1,1,1,"No contact",1.1,4.8,3,6,4,1.2,1,1.1,0,NA,4,NA
"26",20,"France",4,5,1,1,5,1,5,3,4,4,4,4,4,4,3,3,3,3,"Female",4,4,3,4,3,4,4,3,4,3,2,2,"No contact",3.6,3.46666666666667,4,4,3.3,3.6,3.6,3.6,0,NA,3.3,NA
